"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
"C61","CAP_0402_N","101.342mm","23.956mm","101.342mm","23.956mm","100.892mm","23.956mm","T","360.00","1u"
"C63","CAP_0402_N","101.342mm","25.099mm","101.342mm","25.099mm","100.892mm","25.099mm","T","360.00","1u"
"C64","CAP_0402_N","101.469mm","18.622mm","101.469mm","18.622mm","101.019mm","18.622mm","T","360.00","1u"
"C66","CAP_0402_N","101.469mm","17.479mm","101.469mm","17.479mm","101.019mm","17.479mm","T","360.00","1u"
"R20","RES_0402_N","101.342mm","26.242mm","101.342mm","26.242mm","100.842mm","26.242mm","T","360.00","2k2"
"R21","RES_0402_N","101.461mm","19.765mm","101.461mm","19.765mm","101.961mm","19.765mm","T","180.00","2k2"
"CN1","B8B-PH-SM4-TB","45mm","6.125mm","52mm","5mm","52mm","5mm","B","180.00","B8B-PH-SM4-TB"
"CN6","2309411-1","63mm","42.05mm","63mm","46mm","96.375mm","50.1mm","T","180.00","2309411-1"
"R50","RES_0402_N","95.373mm","17.606mm","95.373mm","17.606mm","95.373mm","17.106mm","T","90.00","33R"
"R51","RES_0402_N","96.516mm","17.606mm","96.516mm","17.606mm","96.516mm","18.106mm","T","270.00","33R"
"R17","RES_0402_N","97.659mm","17.606mm","97.659mm","17.606mm","97.659mm","18.106mm","T","270.00","33R"
"L9","IND_0603_N","103.767mm","29.429mm","103.767mm","29.429mm","102.967mm","29.429mm","T","360.00","1k@100Mhz,"
"R7","RES_0402_N","29.853mm","30.191mm","29.853mm","30.191mm","29.853mm","29.691mm","T","90.00","10k"
"U19","DGS0010A_L","64.143mm","4.41mm","64.143mm","4.41mm","63.143mm","2.285mm","T","90.00","INA238AQDGSRQ1"
"C65","CAP_1210_2.8mm_N","37.727mm","9.871mm","37.727mm","9.871mm","37.727mm","11.371mm","T","270.00","100u"
"C70","CAP_0603_N","27.059mm","26.439mm","27.059mm","26.439mm","27.059mm","27.239mm","T","270.00","1n"
"D5","SMA","93.226mm","10.887mm","93.226mm","10.887mm","93.226mm","12.412mm","T","270.00","SMAJ36A"
"D6","SMA","96.528mm","10.887mm","96.528mm","10.887mm","96.528mm","12.412mm","T","270.00","SMAJ36A"
"R9","RES_0603_N","22.614mm","25.873mm","22.614mm","25.873mm","22.614mm","25.073mm","T","90.00","93.1k"
"R10","RES_0603_N","25.535mm","25.873mm","25.535mm","25.873mm","25.535mm","26.673mm","T","270.00","8.87k"
"R28","RES_0603_N","21.217mm","25.873mm","21.217mm","25.873mm","21.217mm","26.673mm","T","270.00","22k"
"L5","IND_0603_N","72.906mm","9.49mm","72.906mm","9.49mm","72.906mm","8.69mm","T","90.00","1k@100Mhz,"
"MH1","9774050151R","94.6mm","4mm","94.6mm","4mm","94.6mm","4mm","T","0.00","M2.5x5.0mm"
"R33","RES_0603_N","70.62mm","7.331mm","70.62mm","7.331mm","71.42mm","7.331mm","T","180.00","12k"
"R34","RES_0603_N","68.461mm","2.124mm","68.461mm","2.124mm","69.261mm","2.124mm","T","180.00","12k"
"T1","PT61018AAPEL-S","40.394mm","15.332mm","40.394mm","15.332mm","44.839mm","10.932mm","B","180.00","PT61018AAPEL-S"
"CN11","LSS-110-01-H-DV-A","63mm","15.66mm","63mm","15.66mm","66.925mm","14.56mm","B","360.00","LSS-110-01-H-DV-A"
"MH8","9774060243R","49.86mm","39.14mm","49.86mm","39.14mm","49.86mm","39.14mm","B","180.00","M2x6.0mm"
"MH9","9774060243R","76.14mm","39.14mm","76.14mm","39.14mm","76.14mm","39.14mm","B","180.00","M2x6.0mm"
"MH10","9774060243R","49.86mm","12.86mm","49.86mm","12.86mm","49.86mm","12.86mm","B","180.00","M2x6.0mm"
"MH11","9774060243R","76.14mm","12.86mm","76.14mm","12.86mm","76.14mm","12.86mm","B","180.00","M2x6.0mm"
"U16","SOT23-5_N","70.852mm","17.044mm","70.852mm","17.044mm","69.477mm","17.994mm","T","360.00","ADP162AUJZ-2.8-R7"
"U15","SSOP8","51.443mm","29.302mm","51.443mm","29.302mm","52.193mm","30.902mm","T","270.00","PCA9306DCUR"
"R12","RES_0402_N","66.175mm","32.358mm","66.175mm","32.358mm","66.175mm","32.858mm","T","270.00","0R"
"C41","CAP_1206_N","43.061mm","14.2144mm","43.061mm","14.2144mm","43.061mm","12.7144mm","T","90.00","1n"
"C35","CAP_0402_N","64.397mm","36.922mm","64.397mm","36.922mm","63.947mm","36.922mm","T","360.00","100n"
"U12","WSON8","56.407mm","11.048mm","56.407mm","11.048mm","55.507mm","9.998mm","T","90.00","DRV8837C"
"R18","RES_0402_N","55.634mm","13.554mm","55.634mm","13.554mm","55.134mm","13.554mm","T","360.00","10k"
"C53","CAP_0402_N","54.237mm","9.871mm","54.237mm","9.871mm","54.237mm","9.421mm","T","90.00","100n"
"C52","CAP_0402_N","54.237mm","11.961mm","54.237mm","11.961mm","54.237mm","12.411mm","T","270.00","100n"
"C7","CAP_0402_N","42.23mm","17.999mm","42.23mm","17.999mm","42.68mm","17.999mm","T","180.00","100n"
"F2","FUS_1206_N","90.051mm","10.887mm","90.051mm","10.887mm","90.051mm","9.387mm","T","90.00","10A"
"L1","IND_0603_N","48.395mm","33.366mm","48.395mm","33.366mm","47.595mm","33.366mm","T","360.00","1k@100Mhz,"
"F1","FUS_1206_N","55.507mm","3.394mm","55.507mm","3.394mm","57.007mm","3.394mm","T","180.00","C1F 8"
"C42","CAP_0603_N","64.778mm","35.652mm","64.778mm","35.652mm","63.978mm","35.652mm","T","360.00","10u"
"C45","CAP_0603_N","61.857mm","35.652mm","61.857mm","35.652mm","62.657mm","35.652mm","T","180.00","10u"
"C50","CAP_0402_N","62.238mm","36.922mm","62.238mm","36.922mm","62.688mm","36.922mm","T","180.00","100n"
"C51","CAP_0603_N","58.555mm","31.969mm","58.555mm","31.969mm","58.555mm","32.769mm","T","270.00","10u"
"C56","CAP_0402_N","59.825mm","32.35mm","59.825mm","32.35mm","59.825mm","32.8mm","T","270.00","100n"
"C85","CAP_0402_N","66.937mm","17.56mm","66.937mm","17.56mm","66.937mm","18.01mm","T","270.00","1u"
"C86","CAP_0402_N","68.08mm","17.56mm","68.08mm","17.56mm","68.08mm","18.01mm","T","270.00","100n"
"C87","CAP_0402_N","73.541mm","16.729mm","73.541mm","16.729mm","73.541mm","17.179mm","T","270.00","1u"
"C88","CAP_0402_N","69.35mm","14.004mm","69.35mm","14.004mm","69.35mm","14.454mm","T","270.00","100n"
"C89","CAP_0402_N","65.286mm","15.459mm","65.286mm","15.459mm","65.286mm","15.009mm","T","90.00","100n"
"C90","CAP_0402_N","55.634mm","21.428mm","55.634mm","21.428mm","55.634mm","21.878mm","T","270.00","100n"
"C91","CAP_0402_N","55.507mm","24.545mm","55.507mm","24.545mm","55.507mm","24.095mm","T","90.00","100n"
"C92","CAP_0402_N","52.147mm","32.223mm","52.147mm","32.223mm","51.697mm","32.223mm","T","360.00","100n"
"L7","IND_0603_N","50.173mm","23.968mm","50.173mm","23.968mm","49.373mm","23.968mm","T","0.00","1k@100Mhz,"
"L8","IND_0603_N","71.382mm","14.316mm","71.382mm","14.316mm","72.182mm","14.316mm","T","180.00","1k@100Mhz,"
"R16","RES_0402_N","64.905mm","32.358mm","64.905mm","32.358mm","64.905mm","32.858mm","T","270.00","0R"
"R23","RES_0402_N","62.492mm","32.35mm","62.492mm","32.35mm","62.492mm","32.85mm","T","270.00","0R"
"R24","RES_0402_N","61.222mm","32.35mm","61.222mm","32.35mm","61.222mm","32.85mm","T","270.00","0R"
"R25","RES_0603_N","54.237mm","24.857mm","54.237mm","24.857mm","54.237mm","24.057mm","T","90.00","4k7"
"R35","RES_0603_N","47.633mm","31.08mm","47.633mm","31.08mm","47.633mm","30.28mm","T","90.00","4k7"
"R36","RES_0603_N","49.157mm","31.08mm","49.157mm","31.08mm","49.157mm","30.28mm","T","90.00","4k7"
"R37","RES_0603_N","51.316mm","26.254mm","51.316mm","26.254mm","52.116mm","26.254mm","T","180.00","200k"
"R38","RES_0603_N","54.237mm","20.92mm","54.237mm","20.92mm","54.237mm","20.12mm","T","90.00","4k7"
"U14","VQFN32_5x5","59.19mm","23.079mm","59.19mm","23.079mm","57.44mm","20.579mm","T","90.00","TCA6424ARGJR"
"C24","CAP_0805_N","31.437mm","13.999mm","31.437mm","13.999mm","31.437mm","13.039mm","T","90.00","10u"
"C28","CAP_1210_2.8mm_N","37.727mm","14.697mm","37.727mm","14.697mm","37.727mm","13.197mm","T","90.00","100u"
"C20","CAP_0805_N","29.151mm","19.587mm","29.151mm","19.587mm","29.151mm","20.547mm","T","270.00","4u7"
"C17","CAP_1206_N","33.977mm","20.095mm","33.977mm","20.095mm","33.977mm","21.595mm","T","270.00","10u"
"C23","CAP_0805_N","29.405mm","13.999mm","29.405mm","13.999mm","29.405mm","13.039mm","T","90.00","10u"
"L2","XGL6060","24.138mm","12.9056mm","24.138mm","12.9056mm","24.138mm","14.9256mm","T","270.00","1.8µH"
"C25","CAP_0805_N","31.437mm","10.443mm","31.437mm","10.443mm","31.437mm","11.403mm","T","270.00","10u"
"C18","CAP_1206_N","31.437mm","20.095mm","31.437mm","20.095mm","31.437mm","21.595mm","T","270.00","10u"
"MH2","9774050151R","31.4mm","4mm","31.4mm","4mm","31.4mm","4mm","T","0.00","M2.5x5.0mm"
"C21","CAP_0603_N","24.138mm","25.873mm","24.138mm","25.873mm","24.138mm","25.073mm","T","90.00","100p"

